Gueltig ab / valid from 19.05.2025;;;;;;
BIC;Name;SERVICE SCT;SERVICE COR;SERVICE COR1;SERVICE B2B;SERVICE SCC
BBVAFRPP;BBVA FRANCIA;1;1;0;1;0
BBVAGB2L;BBVA LONDRES;1;1;0;1;0
BBVAITMM;BBVA MILAN;1;1;0;0;0
BBVAPTPL;BANCO BILBAO VIZCAYA ARGENTARIA SA SUC PORTUGAL;1;1;0;1;0
BCABIT21;BANCO DI BRESCIA S.P.A.;1;1;0;1;0
BCALIT22;BANCA SELLA NORD EST BOVIO CALDERARI;1;1;0;0;0
BCCAESMM;BANCO DE CREDITO SOCIAL COOPERATIVO;1;1;0;1;0
BCCAESMMXXX;BCC (Grupo Cajamar);1;0;0;0;0
BCDMBEBB;BANQUE CHAABI DU MAROC;1;1;0;0;0
BCDMESMM;BANQUE CHAABI DU MAROC;1;1;0;0;0
BCDMESMMXXX;Banque Chaabi du Maroc S.E.;1;0;0;0;0
BCDMFRPP;BANQUE CHAABI DU MAROC;1;1;0;0;0
BCDMITM1;BANQUE CHAABI DU MAROC;1;1;0;1;0
BCDUIE21;First South Credit Union Limited;1;1;0;0;0
BCEELULL;BANQUE ET CAISSE DEPARGNE DE;1;1;0;1;0
BCEPITMM;BANCA CESARE PONTI S.P.A.;1;1;0;1;0
BCGECHGG;BANQUE CANTONALE DE GENEVE;1;1;0;0;0
BCGEFR21;Banque Cantonale de Geneve France;1;1;0;1;0
BCHAFR21;BANQUE CHALUS;1;1;0;1;0
BCIBFRP1;BANQUE CHABRIERES;1;1;0;1;0
BCIRLULL;BANKING CIRCLE S.A.;1;1;0;1;0
BCITDEFF;INTESA SANPAOLO SPA FRANKFURT;1;1;0;1;0
BCITESMM;INTESA SANPAOLO SPA MADRID;1;1;0;1;0
BCITFRPP;INTESA SANPAOLO SPA PARIS;1;1;0;1;0
BCITGB2L;INTESA SANPAOLO SPA LONDON;1;1;0;1;0
BCITIE2D;INTESA SANPAOLO BANK IRELAND;1;1;0;1;0
BCITITMM;INTESA SANPAOLO SPA;1;1;0;1;0
BCITITM1;INTESA SANPAOLO SPA;1;1;0;1;0
BCITITM3;INTESA SANPAOLO PRIVATE BANKING;1;1;0;1;0
BCITNL2A;INTESA SANPAOLO BANK LUXEMBOURG AMSTERDAM BRANCH;1;1;0;1;0
BCITPLPW;INTESA SANPAOLO SPA WARSZAWA;1;1;0;1;0
BCJUCH22;BANQUE CANTONALE DU JURA;1;0;0;0;0
BCLRCHBB;BANK CLER AG;1;0;0;0;0
BCLSDE21;BANKHAUS C.L. SEELIGER KG;1;1;0;1;1
BCLSDE22;BANKHAUS C.L. SEELIGER;1;1;0;1;1
BCMADEFF;ATTIJARIWAFA BANK EUROPE;1;1;0;0;0
BCMAESMM;ATTIJARIWAFA BANK EUROPE SUCURSAL EN ESPANA SA;1;1;0;0;0
BCMAFRPP;ATTIJARIWAFA BANK EUROPE;1;1;0;1;0
BCMAITMM;ATTIJARIWAFA BANK EUROPE SEDE ITALIANA;1;1;0;0;0
BCNNCH22;BANQUE CANTONALE NEUCHATELOISE;1;1;0;0;0
BCOEESMM;BANCO COOPERATIVO;1;1;0;1;0
BCOEESMMXXX;Banco Cooperativo;1;0;0;0;0
BCOEESMM005;C.R. Central;1;1;0;1;0
BCOEESMM007;C.R. de Gij n;1;1;0;1;0
BCOEESMM008;C.R. de Navarra;1;1;0;1;0
BCOEESMM009;C.R. de Extremadura;1;1;0;1;0
BCOEESMM016;C.R. de Salamanca;1;1;0;1;0
BCOEESMM017;C.R. de Soria;1;1;0;1;0
BCOEESMM018;C.R. Regional San Agust n;1;1;0;1;0
BCOEESMM020;C.R. de Utrera;1;1;0;1;0
BCOEESMM023;C.R. de Granada;1;1;0;1;0
BCOEESMM059;C.R. de Asturias;1;1;0;1;0
BCOEESMM060;C.R. de Burgos;1;1;0;1;0
BCOEESMM067;C.R. de Ja n;1;1;0;1;0
BCOEESMM070;C.R. Galega;1;1;0;1;0
BCOEESMM076;C.R. Cajasiete;1;1;0;1;0
BCOEESMM080;C.R. de Teruel;1;1;0;1;0
BCOEESMM085;C.R. de Zamora;1;1;0;1;0
BCOEESMM089;C.R. de Baena;1;1;0;1;0
BCOEESMM096;C.R. de L  lc dia;1;1;0;1;0
BCOEESMM098;C.R. de Nueva Carteya;1;1;0;1;0
BCOEESMM104;C.R. de Ca ete de las Torres;1;1;0;1;0
BCOEESMM111;C.R. La Vall  San Isidro;1;1;0;1;0
BCOEESMM113;C.R. San Jos  de Alcora;1;1;0;1;0
BCOEESMM115;C.R. Nuestra Madre del Sol;1;1;0;1;0
BCOEESMM117;C.R. d Algemes;1;1;0;1;0
BCOEESMM127;C.R. de Casas Ib  ez;1;1;0;1;0
BCOEESMM130;C.R. San Jos  de Almassora;1;1;0;1;0
BCOEESMM134;C.R. de Onda;1;1;0;1;0
BCOEESMM138;Ruralnostra;1;1;0;1;0
BCOEESMM144;C.R. de Villamalea;1;1;0;1;0
BCOEESMM150;C.R. de Albal;1;1;0;1;0
BCOEESMM159;Caixa Popular;1;1;0;1;0
BCOEESMM162;C.R. Benicarl;1;1;0;1;0
BCOEESMM166;C.R. Les Coves;1;1;0;1;0
BCOEESMM174;C.R. Vinar s;1;1;0;1;0
BCOEESMM187;C.R. del Sur;1;1;0;1;0
BCOEESMM190;GlobalCaja;1;1;0;1;0
BCOEESMM191;C.R. de Arag n;1;1;0;1;0
BCOEPTP2;CAJA RURAL DEL SUR, S.C.C. SUCURSAL PORTUGAL;1;1;0;0;0
BCOEPTP2XXX;C.R. del Sur Sucursal Portugal;1;0;0;0;0
BCOMPTPL;BANCO COMERCIAL PORTUGUES SA;1;1;0;1;0
BCPCIT2P;Banca di Piacenza Soc. Coop. per Azioni;1;1;0;1;0
BCPTITNN;BANCA DI CREDITO POPOLARE;1;1;0;1;0
BCPTITN1;BANCA CREDITO POPOLARE;1;1;0;1;0
BCRECH22;BANCA CREDINVEST SA;1;0;0;0;0
BCUOIE21;BALLINASLOE CREDIT UNION LTD;1;1;0;0;0
BCVAIT2V;BANCA VALSABBINA;1;1;0;1;0
BCVLCH2L;BANQUE CANTONALE VAUDOISE;1;0;0;0;0
BCVSCH2L;BANQUE CANTONALE DU VALAIS;1;1;0;0;0
BCYPCY2N;BANK OF CYPRUS PUBLIC COMPANY LIMITED;1;1;0;0;0
BCYPGB2L;Cynergy Bank;1;0;0;0;0
BDBDIT22;BANCO DI DESIO E DELLA BRIANZA;1;1;0;1;0
BDCAFRPP;BANQUES DES CARAIBES;1;1;0;1;0
BDCLIE21;Ballymote & District Credit Union Limited;1;1;0;0;0
BDCPITTT;BANCA DEL PIEMONTE;1;1;0;1;0
BDCUIE21;ROSCOMMON CREDIT UNION LIMITED;1;0;0;0;0
BDEIFRPP;BANQUE THEMIS;1;1;0;1;0
BDEPESM1;BANCO DE DEPOSITOS;1;1;0;1;0
BDEPESM1XXX;Banco de Dep sitos;1;0;0;0;0
BDFEFRPP;BANQUE DE FRANCE;1;1;0;1;0
BDFEFRPPCCT;BANQUE DE FRANCE;1;0;0;0;0
BDIGPTPL;BANCO DE INVESTIMENTO GLOBAL, SA;1;1;0;0;0
BDRIIE21;Blessington and District Credit Union Limited;1;1;0;0;0
BDRNIE21;BLANCHARDSTOWN CU;1;1;0;0;0
BDWBDEMM;BAADER BANK AG;1;1;0;0;0
BEDFESM1;BANCO EUROPEO DE FINANZAS;1;1;0;1;0
BEDFESM1XXX;Banco Europeo de Finanzas;1;0;0;0;0
BEFRCH22;BANQUE CANTONALE DE FRIBOURG;1;1;0;0;0
BEGOCHZZ;BERGOS AG;1;0;0;0;0
BEGODEHH;JOH. BERENBERG,GOSSLER UND CO.KG;1;1;0;1;1
BELADEBE;BERLINER SPARKASSE - LANDESBANK BERLIN AG;1;1;0;1;1
BEMOFRPP;BEMO BP PARIS Branch;1;1;0;0;0
BEMOLULL;BEMO EUROPE BANQUE PRIVEE LUX;1;1;0;0;0
BEPOIT21;Banca Popolare di Bergamo;1;1;0;1;0
BERLMCMC;EDMOND DE ROTHSCHILD (MONACO);1;1;0;0;0
BESAPTPA;NOVO BANCO DOS ACORES, SA;1;1;0;1;0
BESCLULL;NOVO BANCO, SA SUCCURSALE LUXEMBOURG;1;0;0;0;0
BESCPTPL;NOVO BANCO, SA;1;1;0;1;0
BESZPTPL;BEST BANCO ELECTRONICO DE SERVICO TOTAL;1;1;0;1;0
BEVODEBB;BERLINER VOLKSBANK EG;1;1;0;1;1
BFBKFRP1;SPECIALISTE EPARGNE EN LIGNE;1;1;0;0;0
BFCOFRPP;BANQUE FRANCAISE COMMERCIALE OCEAN INDIEN PARIS;1;1;0;1;0
BFCORERX;BANQUE FRANCAISE COMMERCIALE D;1;1;0;1;0
BFCOYTYT;BANQUE FRANCAISE COMMERCIALE OCEAN INDIEN  MAYOTTE;1;1;0;1;0
BFDVIT31;Banca Federico del Vecchio;1;1;0;1;0
BFERROBU;TECHVENTURES BANK S.A.;1;0;0;0;0
BFGRGRA2;BFF BANK S.P.A GREEK BRANCH;1;0;0;0;0
BFHSNO21;ROMSDAL SPAREBANK;1;0;0;0;0
BFIAPTPL;BANCO FINANTIA SA;1;0;0;0;0
BFINITMM;BANCA FININT SPA;1;1;0;1;0
BFIVESBB;BANCO MEDIOLANUM S.A.;1;1;0;0;0
